model,protocol,split,scope,site_id,n_eval,n_missing,mae,rmse,r2,nrmse,daylight_n,daylight_mae,daylight_nrmse
transformer,seen,val,SITE,25,5007,4429,5.468599691632885,8.571921021145986,0.8809853488631881,0.08648128327974915,4988,5.488601065867408,0.0866456936371889
transformer,seen,val,SITE,27,6286,5684,6.465526753119743,9.932867237707415,0.8725995092231897,0.10021173821425072,6149,6.594709879209364,0.10131360371677145
transformer,seen,val,SITE,3,5600,6298,0.9526981543217387,1.4208533100885665,0.8828528515464542,0.014334851815084856,5599,0.9527695041870428,0.014335937840612533
transformer,seen,val,SITE,30,4430,4375,0.6977803161935398,1.0130485883256457,0.8473367480375074,0.010220549364257621,4430,0.6977803161935398,0.010220549364257621
transformer,seen,val,SITE,31,4933,4705,1.144956386285067,1.7247758298133364,0.8796017965409418,0.017401096762812932,4933,1.144956386285067,0.017401096762812932
transformer,seen,val,SITE,34,5313,5535,0.3994840418307453,0.5309028053502091,0.8156652346496889,0.005356227126946485,5313,0.3994840418307453,0.005356227126946485
transformer,seen,val,SITE,37,4904,4734,0.7944567348400882,1.1496059132427052,0.8528902109265589,0.011598263026217857,4904,0.7944567348400882,0.011598263026217857
transformer,seen,val,SITE,38,5092,4546,0.8717552028766131,1.273529695248658,0.8698144284229807,0.012848518093934511,5092,0.8717552028766131,0.012848518093934511
transformer,seen,val,SITE,39,4405,4400,0.5704550527687375,0.7902437173792252,0.8459873823725879,0.007972692540461391,4405,0.5704550527687375,0.007972692540461391
transformer,seen,val,SITE,4,3276,3807,0.2567245408583328,0.3372983395662491,0.663661761361519,0.003402970370569053,3275,0.2565971253664439,0.003401415014090891
